id, Label
0,Afrika Bambaataa
1,100 Kila
2,100s
3,12 Gauge
4,2 Chainz
5,2 Pistols
6,2$ Fabo
7,21 Savage
8,2Mex
9,360
10,40 Glocc
11,50 Cent
12,6lack
13,6ix9ine
14,The 6th Letter
15,9th Wonder
16,Andre 3000
17,Big Boi
18,A.CHAL
19,Arabian Prince
20,A Boogie wit da Hoodie
21,Abstract Rude
22,Ace Hood
23,Aceyalone
24,Action Bronson
25,Adam Saleh
26,Aesop Rock
27,Afrika Bambaataa
28,Afroman
29,Agallah
30,Ahmad
31,Ajs Nigrutin
32,Akala
33,Akinyele
34,Akir
35,Akon
36,The Alchemist
37,Ali Vegas
38,Alpha
39,AMG
40,Amil
41,Ampichino
42,Anderson .Paak
43,Andre Nickatina
44,Andy Mineo
45,Angel Haze
46,Angie Martinez
47,Ant
48,Ant Banks
49,Antoinette
50,Anybody Killa
51,Apache
52,Apathy
53,Arin Hanson
54,A$AP Ferg
55,A$AP Nast
56,A$AP Rocky
57,A$AP Yams
58,A$Ton Matthews
59,Asher Roth
60,Astronautalis
61,Awol One
62,Awkwafina
63,AZ
64,Azealia Banks
65,Big Daddy Kane
66,Busta Rhymes
67,B.G.
68,B.G. Knocc Out
69,B.o.B
70,Baby Bash
71,Baby Boy da Prince
72,Baby D
73,Bad Azz
74,Badshah
75,Baeza
76,Bahamadia
77,Bangladesh
78,Bas
79,Battlecat
80,Beanie Sigel
81,Becky G
82,Benny Blanco
83,Beenzino
84,Benzino
85,Big Boi
86,Big Daddy Kane
87,Big Ed
88,Big Gipp
89,Big Hawk
90,Big K.R.I.T.
91,Big Kuntry King
92,Big L
93,Big Lurch
94,Big Mello
95,Big Mike
96,Big Moe
97,Big Noyd
98,Big Pokey
99,Big Pooh
100,Big Pun
101,Big Reese
102,Big Scoob
103,Big Smo
104,Big Sean
105,Big Shaq
106,Big Shug
107,Big Syke
108,Bigg D
109,Billy Woods
110,Birdman
111,Bishop Nehru
112,Biz Markie
113,Bizarre
114,Bugz
115,Bizzy
116,Bizzy Bone
117,BJ the Chicago Kid
118,Black Milk
119,Black Rob
120,Black Thought
121,Blade Icewood
122,Blaq Poet
123,Blaze Ya Dead Homie
124,Blood Raw
125,Blu
126,Bob Doe
127,Bobby Brackins
128,Bobby Creekwater
129,Bobby Shmurda
130,Bohemia
131,Boldy James
132,Bone Crusher
133,Booba
134,Boondox
135,Boosie Badazz
136,Boss
137,Bow Wow
138,Braille
139,Brandun DeShay
140,Brianna Perry
141,Brisco
142,Brotha Lynch Hung
143,Bruno Mars
144,Brother Ali
145,Bryson Tiller
146,Bubba Sparxxx
147,Buckshot
148,Buckwild
149,Bumpy Knuckles
150,Bun B
151,Busdriver
152,Bushwick Bill
153,Busta Rhymes
154,Busy Bee Starski
155,Butch Cassidy
156,Common
157,Cage
158,Canibus
159,Capital Steez
160,Capone
161,Cappadonna
162,Cardi B
163,Casey Veggies
164,Cash Out
165,Cashis
166,Caskey
167,Casper Nyovest
168,Cassidy
169,Cazwell
170,CeeLo Green
171,Cellski
172,Celly Cel
173,Celph Titled
174,Cesar Comanche
175,Ceza
176,Chamillionaire
177,Chance the Rapper
178,Chanel West Coast
179,Channel 7
180,Charizma
181,Charles Hamilton
182,Charli Baltimore
183,Chevy Woods
184,Chi Ali
185,Chiddy Bang
186,Chief Keef
187,Childish Gambino
188,Chill Rob G
189,Chingy
190,Chingo Bling
191,Chino XL
192,Chinx
193,Chip
194,Choice
195,Choppa
196,Chris Brown
197,Chris Webby
198,Christopher Martin
199,Christopher Reid
200,Chubb Rock
201,CJ Fly
202,CL
203,CL Smooth
204,Classified
205,Clinton Sparks
206,Clyde Carson
207,Cold 187um
208,Common
209,Consequence
210,Cool Breeze
211,Cool C
212,Coolio
213,Copywrite
214,Cormega
215,Cory Gunz
216,Cordaro Stewart
217,Count Bass D
218,The Coup
219,Craig Mack
220,Crime Boss
221,Criminal Manne
222,Crooked I
223,Crucial Star
224,Cupcakke
225,Currensy
226,Curtiss King
227,Cyhi the Prynce
228,Del Tha Funkee Homosapien
229,Dr. Dre
230,The D.O.C.
231,Da Brat
232,Da$h
233,Dae Dae
234,Damu the Fudgemunk
235,Dan Bull
